"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","change"
"SPTBN1",0.000482545579925511,-0.62838026926516,0.085,0.137,1,"SPTBN1","boundaries_0","stable"
"TMEM164",0.000483231604405995,-0.971526742456913,0.013,0.036,1,"TMEM164","boundaries_0","stable"
"RAC1",0.000506568604648421,-0.420749849305708,0.184,0.254,1,"RAC1","boundaries_0","stable"
"ITGA3",0.000513491010433595,-1.09545443541701,0.02,0.047,1,"ITGA3","boundaries_0","stable"
"MBNL1",0.000517921228348519,-0.520718429470847,0.146,0.21,1,"MBNL1","boundaries_0","stable"
"CD68",0.000522690292269666,-1.09515712314081,0.035,0.069,1,"CD68","boundaries_0","stable"
"SKP1",0.000528138541534123,-0.723147197353854,0.062,0.106,1,"SKP1","boundaries_0","stable"
"GLUD1",0.000529070041324044,-0.785584763099649,0.036,0.071,1,"GLUD1","boundaries_0","stable"
"NPC1",0.000548121026076781,-0.86939996510461,0.018,0.044,1,"NPC1","boundaries_0","stable"
"LAMP2",0.000565544956811771,-0.438494827987872,0.032,0.066,1,"LAMP2","boundaries_0","stable"
"FCRL2",0.000577770912992067,1.18616961486564,0.083,0.04,1,"FCRL2","boundaries_0","stable"
"IDH2",0.000585679956109705,-0.752290596022697,0.03,0.062,1,"IDH2","boundaries_0","stable"
"ELK3",0.000586337100429162,-1.04877517339024,0.041,0.077,1,"ELK3","boundaries_0","stable"
"RASSF5",0.000607297045190349,-0.57212280352953,0.079,0.128,1,"RASSF5","boundaries_0","stable"
"SBNO2",0.000644583767769955,-1.51398348481319,0.013,0.035,1,"SBNO2","boundaries_0","stable"
"IFNGR1",0.000647665330406504,-0.809183854337419,0.077,0.124,1,"IFNGR1","boundaries_0","stable"
"DAG1",0.000648085183425548,-0.922980662978979,0.027,0.058,1,"DAG1","boundaries_0","stable"
"PSMA6",0.000652096533715154,-0.79770488555924,0.053,0.093,1,"PSMA6","boundaries_0","stable"
"CUL4A",0.000657812795317852,-0.6790745948653,0.044,0.082,1,"CUL4A","boundaries_0","stable"
"CLDN5",0.000658019591887948,-1.30871174645831,0.013,0.035,1,"CLDN5","boundaries_0","stable"
"ALDH2",0.000659004601361492,-0.583457932763943,0.055,0.097,1,"ALDH2","boundaries_0","stable"
"CDC73",0.000661986148007007,-0.809011032797727,0.037,0.071,1,"CDC73","boundaries_0","stable"
"CDH1",0.000670511042940942,-0.780103335355822,0.027,0.058,1,"CDH1","boundaries_0","stable"
"ELMOD2",0.000680955050811421,-0.914435901060146,0.025,0.055,1,"ELMOD2","boundaries_0","stable"
"FOLR1",0.00071357294883974,-0.891071689169259,0.013,0.035,1,"FOLR1","boundaries_0","stable"
"HOXB7",0.000724218107642931,-0.502424752225549,0.155,0.221,1,"HOXB7","boundaries_0","stable"
"MYLIP",0.000726657731693528,-1.4386269859393,0.009,0.027,1,"MYLIP","boundaries_0","stable"
"ODF2L",0.000791389494970943,-0.891099072674213,0.034,0.068,1,"ODF2L","boundaries_0","stable"
