X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,change
CAV2,0.0109104317553725,-0.57999653,0.091,0.124,1,CAV2,CD8_Exhausted,stable
EBP,0.0111838035293681,0.458421877149083,0.108,0.077,1,EBP,CD8_Exhausted,stable
GBF1,0.0112101449188343,0.459063769133288,0.126,0.092,1,GBF1,CD8_Exhausted,stable
H2AFX,0.0113234799324593,0.285652404493083,0.212,0.168,1,H2AFX,CD8_Exhausted,stable
CRYBG1,0.0115301732890781,0.409092058019481,0.102,0.071,1,CRYBG1,CD8_Exhausted,stable
SNAP23,0.0116515776268341,0.399187290316079,0.163,0.125,1,SNAP23,CD8_Exhausted,stable
LONP1,0.0120400792422627,0.29513357453459,0.117,0.085,1,LONP1,CD8_Exhausted,stable
AMFR,0.0121014027639156,0.264532698331188,0.127,0.092,1,AMFR,CD8_Exhausted,stable
FSTL1,0.012125359018241,0.36408270734488,0.263,0.217,1,FSTL1,CD8_Exhausted,stable
RUNX3,0.0122647340644715,-0.407560932,0.187,0.227,1,RUNX3,CD8_Exhausted,stable
XPO7,0.0122998118235492,-0.528116369,0.131,0.168,1,XPO7,CD8_Exhausted,stable
MYD88,0.0125337803109966,0.364298960439905,0.152,0.115,1,MYD88,CD8_Exhausted,stable
PTAFR,0.0126454014792066,-0.660131411,0.073,0.102,1,PTAFR,CD8_Exhausted,stable
WASHC3,0.0126482404618899,0.325577499031249,0.113,0.081,1,WASHC3,CD8_Exhausted,stable
CDH3,0.0127340578023177,-0.406817107,0.143,0.179,1,CDH3,CD8_Exhausted,stable
TYMS,0.0128908127690694,-0.396750113,0.232,0.272,1,TYMS,CD8_Exhausted,stable
LRRC59,0.0129738145080318,-0.410182937,0.323,0.35,1,LRRC59,CD8_Exhausted,stable
WDHD1,0.0131096435073648,-0.588356041,0.071,0.1,1,WDHD1,CD8_Exhausted,stable
MYO1E,0.0131706315110728,-0.509916546,0.081,0.112,1,MYO1E,CD8_Exhausted,stable
SMARCA4,0.0132206296347784,0.295987799453191,0.176,0.135,1,SMARCA4,CD8_Exhausted,stable
AKT3,0.0136702639506603,0.325446502494471,0.118,0.086,1,AKT3,CD8_Exhausted,stable
CREB1,0.0138858367165642,0.300288190571911,0.162,0.124,1,CREB1,CD8_Exhausted,stable
NUP153,0.0139054557336527,-0.491707687,0.101,0.134,1,NUP153,CD8_Exhausted,stable
TIGIT,0.0139117585529715,-0.566189611,0.226,0.258,1,TIGIT,CD8_Exhausted,stable
PEF1,0.0139394965440768,-0.659639655,0.114,0.147,1,PEF1,CD8_Exhausted,stable
KPNA6,0.0140892913998109,-0.562311344,0.132,0.166,1,KPNA6,CD8_Exhausted,stable
NUMA1,0.014255470957029,-0.377814682,0.153,0.19,1,NUMA1,CD8_Exhausted,stable
AIP,0.0146361912627101,0.366740065543124,0.118,0.086,1,AIP,CD8_Exhausted,stable
PLEKHO1,0.0149128313884364,-0.635495534,0.137,0.169,1,PLEKHO1,CD8_Exhausted,stable
PPP2R3C,0.015468224898949,0.491937322705421,0.131,0.099,1,PPP2R3C,CD8_Exhausted,stable
CXCR6,0.0157854305341071,0.481556018601228,0.111,0.081,1,CXCR6,CD8_Exhausted,stable
DAP3,0.0161176806959847,-0.474175321,0.217,0.251,1,DAP3,CD8_Exhausted,stable
BTN3A1,0.0168123572523084,0.376834560513484,0.167,0.13,1,BTN3A1,CD8_Exhausted,stable
PFKFB3,0.0172998893281085,-0.675931698,0.086,0.115,1,PFKFB3,CD8_Exhausted,stable
CD58,0.0173249468914867,-0.443102495,0.112,0.145,1,CD58,CD8_Exhausted,stable
CYLD,0.0184788861201844,-0.358992462,0.309,0.343,1,CYLD,CD8_Exhausted,stable
SHLD2,0.0186483906132306,0.383264426617145,0.106,0.076,1,SHLD2,CD8_Exhausted,stable
USP7,0.0193078938473048,0.3136073903147,0.179,0.142,1,USP7,CD8_Exhausted,stable
BAG3,0.0195863626180205,0.491395398192746,0.104,0.076,1,BAG3,CD8_Exhausted,stable
IL2RA,0.0198143463782534,0.363922990100348,0.133,0.1,1,IL2RA,CD8_Exhausted,stable
GUSB,0.0202051457377061,-0.361736113,0.206,0.238,1,GUSB,CD8_Exhausted,stable
OGDH,0.0208459884051414,-0.595825388,0.122,0.154,1,OGDH,CD8_Exhausted,stable
HNRNPM,0.0209286672883956,-0.258937684,0.425,0.454,1,HNRNPM,CD8_Exhausted,stable
FLNB,0.0218536874310378,-0.497090097,0.184,0.217,1,FLNB,CD8_Exhausted,stable
STK40,0.0219973636230761,-0.544455286,0.09,0.119,1,STK40,CD8_Exhausted,stable
